"wk","tr","nc","stg","id"
0,"10642010551",0.0,"2",106420105511
1,"10642010551",0.0,"2",106420105511
2,"10642010551",0.0,"2",106420105511
3,"10642010551",0.43,"2",106420105511
4,"10642010551",1.0,"2",106420105511
5,"10642010551",0.14,"2",106420105511
6,"10642010551",0.29,"2",106420105511
7,"10642010551",0.71,"2",106420105511
8,"10642010551",0.71,"2",106420105511
9,"10642010551",0.86,"2",106420105511
10,"10642010551",1.57,"2",106420105511
11,"10642010551",1.14,"2",106420105511
12,"10642010551",0.71,"2",106420105511
13,"10642010551",0.57,"2",106420105511
14,"10642010551",0.43,"2",106420105511
15,"10642010551",0.86,"2",106420105511
16,"10642010551",2.14,"2",106420105511
17,"10642010551",1.0,"2",106420105511
18,"10642010551",0.57,"2",106420105511
19,"10642010551",0.57,"2",106420105511
20,"10642010551",0.29,"2",106420105511
21,"10642010551",0.0,"2",106420105511
22,"10642010551",0.0,"2",106420105511
23,"10642010551",0.29,"2",106420105511
24,"10642010551",0.14,"2",106420105511
25,"10642010551",0.0,"2",106420105511
26,"10642010551",0.0,"2",106420105511
27,"10642010551",0.0,"2",106420105511
28,"10642010551",0.0,"2",106420105511
29,"10642010551",0.0,"2",106420105511
30,"10642010551",0.0,"2",106420105511
31,"10642010551",0.0,"2",106420105511
32,"10642010551",0.0,"2",106420105511
33,"10642010551",0.14,"2",106420105511
34,"10642010551",0.57,"2",106420105511
35,"10642010551",0.43,"2",106420105511
36,"10642010551",1.71,"2",106420105511
37,"10642010551",2.29,"2",106420105511
38,"10642010551",2.57,"2",106420105511
39,"10642010551",4.29,"2",106420105511
40,"10642010551",5.43,"2",106420105511
41,"10642010551",6.0,"2",106420105511
42,"10642010551",4.57,"2",106420105511
43,"10642010551",5.43,"2",106420105511
44,"10642010551",4.0,"2",106420105511
45,"10642010551",3.29,"2",106420105511
46,"10642010551",3.71,"2",106420105511
47,"10642010551",3.86,"2",106420105511
48,"10642010551",5.29,"2",106420105511
49,"10642010551",3.29,"2",106420105511
50,"10642010551",4.0,"2",106420105511
51,"10642010551",3.14,"2",106420105511
52,"10642010551",4.0,"2",106420105511
53,"10642010551",3.29,"2",106420105511
54,"10642010551",4.57,"2",106420105511
55,"10642010551",3.86,"2",106420105511
56,"10642010551",2.71,"2",106420105511
57,"10642010551",4.14,"2",106420105511
58,"10642010551",3.57,"2",106420105511
59,"10642010551",5.29,"2",106420105511
60,"10642010551",7.71,"2",106420105511
61,"10642010551",12.86,"2",106420105511
62,"10642010551",25.71,"2",106420105511
63,"10642010551",29.14,"2",106420105511
64,"10642010551",36.0,"2",106420105511
65,"10642010551",34.71,"2",106420105511
66,"10642010551",37.29,"2",106420105511
67,"10642010551",34.71,"2",106420105511
68,"10642010551",33.43,"2",106420105511
69,"10642010551",29.57,"2",106420105511
70,"10642010551",24.43,"2",106420105511
71,"10642010551",16.71,"2",106420105511
72,"10642010551",15.43,"2",106420105511
73,"10642010551",27.0,"2",106420105511
74,"10642010551",21.86,"2",106420105511
75,"10642010551",18.0,"2",106420105511
76,"10642010551",15.43,"2",106420105511
