"wk","tr","nc","stg","id"
0,"10422010551",0.29,"1",104220105511
1,"10422010551",3.0,"1",104220105511
1,"10422010551",3.0,"1b",104220105512
2,"10422010551",6.43,"1b",104220105512
2,"10422010551",6.43,"3",104220105513
3,"10422010551",5.71,"3",104220105513
4,"10422010551",3.43,"3",104220105513
4,"10422010551",3.43,"2",104220105514
5,"10422010551",3.57,"2",104220105514
6,"10422010551",2.86,"2",104220105514
7,"10422010551",2.71,"2",104220105514
8,"10422010551",3.29,"2",104220105514
9,"10422010551",3.14,"2",104220105514
10,"10422010551",1.0,"2",104220105514
11,"10422010551",1.14,"2",104220105514
12,"10422010551",0.57,"2",104220105514
13,"10422010551",0.57,"2",104220105514
13,"10422010551",0.57,"1b",104220105515
14,"10422010551",0.29,"1b",104220105515
15,"10422010551",0.43,"1b",104220105515
15,"10422010551",0.43,"1",104220105516
16,"10422010551",0.29,"1",104220105516
17,"10422010551",1.14,"1",104220105516
18,"10422010551",2.86,"1",104220105516
19,"10422010551",2.29,"1",104220105516
20,"10422010551",2.71,"1",104220105516
21,"10422010551",2.43,"1",104220105516
22,"10422010551",1.86,"1",104220105516
23,"10422010551",1.43,"1",104220105516
24,"10422010551",2.57,"1",104220105516
25,"10422010551",3.86,"1",104220105516
26,"10422010551",1.43,"1",104220105516
27,"10422010551",1.29,"1",104220105516
28,"10422010551",0.43,"1",104220105516
29,"10422010551",0.57,"1",104220105516
30,"10422010551",2.57,"1",104220105516
31,"10422010551",11.14,"1",104220105516
32,"10422010551",33.43,"1",104220105516
33,"10422010551",61.71,"1",104220105516
34,"10422010551",41.14,"1",104220105516
35,"10422010551",88.71,"1",104220105516
36,"10422010551",61.71,"1",104220105516
37,"10422010551",57.86,"1",104220105516
38,"10422010551",77.14,"1",104220105516
39,"10422010551",212.14,"1",104220105516
40,"10422010551",154.29,"1",104220105516
40,"10422010551",154.29,"1b",104220105517
41,"10422010551",297.0,"1b",104220105517
41,"10422010551",297.0,"2",104220105518
42,"10422010551",173.57,"2",104220105518
42,"10422010551",173.57,"3",104220105519
43,"10422010551",185.14,"3",104220105519
43,"10422010551",185.14,"4",1042201055110
44,"10422010551",115.71,"4",1042201055110
45,"10422010551",81.0,"4",1042201055110
46,"10422010551",123.43,"4",1042201055110
47,"10422010551",77.14,"4",1042201055110
47,"10422010551",77.14,"3",1042201055111
48,"10422010551",34.71,"3",1042201055111
