vu,R0,str,vk,va,wk,q50,q95,q5,bo
50% Vaccinated,4.5,ME_ME_LS,0,0.02,0,0.0,0.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,1,0.05,0.14,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,2,0.12,0.31,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,3,0.3,1.76,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,4,0.34,2.34,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,5,0.34,1.78,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,6,0.33,1.78,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,7,0.3,1.89,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,8,0.23,0.87,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,9,0.22,0.86,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,10,0.17,0.58,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,11,0.15,0.72,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,12,0.27,1.01,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,13,0.24,0.59,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,14,0.19,1.29,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,15,0.18,1.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,16,0.19,0.73,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,17,0.16,1.29,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,18,0.17,0.73,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,19,0.17,0.58,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,20,0.14,0.59,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,21,0.13,0.71,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,22,0.13,0.46,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,23,0.14,0.72,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,24,0.14,0.44,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,25,0.15,1.14,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,26,0.18,0.88,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,27,0.18,0.86,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,28,0.21,1.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,29,0.28,1.44,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,30,0.19,1.01,0.0,0
